##NAMES=Calcite
##RRUFFID=R050048
##IDEAL CHEMISTRY=Ca(CO_3_)
##LOCALITY=Magdalena, New Mexico, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=https://www.rruff.net/odr/rruff_sample/R050048
##MEASURED CHEMISTRY=(Ca_0.99_Zn_0.01_)CO_3_
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##CELL PARAMETERS=a: 4.9793 b: 4.9793 c: 17.0244 alpha: 90 beta: 90 gamma: 120 volume: 365.55 crystal system: hexagonal
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=532

143.0664, 579.6702
144.9948, 642.2200
146.9233, 708.5244
148.8518, 780.7955
150.7802, 859.7125
152.7087, 933.3843
154.6372, 1005.537
156.5656, 1069.782
158.4941, 1114.941
160.4226, 1138.806
162.3510, 1148.138
164.2795, 1145.519
166.2080, 1127.211
168.1364, 1107.150
170.0649, 1088.432
171.9934, 1069.537
173.9218, 1045.146
175.8503, 1010.578
177.7788, 976.1970
179.7072, 946.2055
181.6357, 921.3691
183.5642, 897.4783
185.4926, 872.8907
187.4211, 849.6390
189.3496, 830.8730
191.2780, 820.6738
193.2065, 811.7959
195.1350, 800.7675
197.0634, 786.4014
198.9919, 777.1555
200.9204, 778.6050
202.8488, 786.1158
204.7773, 790.5722
206.7058, 789.0479
208.6342, 787.8141
210.5627, 789.3103
212.4912, 794.0367
214.4196, 798.7530
216.3481, 801.9631
218.2766, 804.5466
220.2050, 809.2753
222.1335, 815.7867
224.0620, 825.0997
225.9904, 837.8653
227.9189, 855.2961
229.8474, 871.1157
231.7758, 884.4413
233.7043, 896.7086
235.6328, 908.8312
237.5612, 917.5258
239.4897, 930.4054
241.4182, 948.8046
243.3466, 974.7903
245.2751, 1009.143
247.2036, 1056.395
249.1320, 1110.218
251.0605, 1164.120
252.9890, 1211.229
254.9174, 1267.667
256.8459, 1338.507
258.7744, 1423.814
260.7029, 1514.427
262.6313, 1604.512
264.5598, 1703.094
266.4883, 1817.895
268.4167, 1957.766
270.3452, 2105.290
272.2737, 2262.012
274.2021, 2425.770
276.1306, 2590.750
278.0591, 2775.439
279.9875, 2947.822
281.9160, 3092.604
283.8445, 3221.755
285.7729, 3296.138
287.7014, 3285.499
289.6299, 3210.010
291.5583, 3114.910
293.4868, 2989.198
295.4153, 2853.922
297.3437, 2717.544
299.2722, 2581.197
301.2007, 2436.655
303.1291, 2272.744
305.0576, 2100.972
306.9861, 1943.872
308.9145, 1800.064
310.8430, 1670.746
312.7715, 1557.575
314.6999, 1459.424
316.6284, 1373.493
318.5569, 1300.787
320.4853, 1238.131
322.4138, 1184.166
324.3423, 1139.180
326.2707, 1099.479
328.1992, 1064.534
330.1277, 1033.827
332.0561, 1006.499
333.9846, 980.1996
335.9131, 958.6596
337.8415, 945.9806
339.7700, 943.1790
341.6985, 939.9229
343.6269, 933.7510
345.5554, 925.1073
347.4839, 916.1157
349.4123, 903.8046
351.3408, 894.3999
353.2693, 891.2270
355.1977, 893.9839
357.1262, 894.7643
359.0547, 890.4288
360.9831, 885.3357
362.9116, 883.2672
364.8401, 884.7499
366.7685, 887.1609
368.6970, 890.4666
370.6255, 893.9826
372.5539, 895.7159
374.4824, 894.3174
376.4109, 893.4409
378.3393, 894.1895
380.2678, 896.3489
382.1963, 897.3168
384.1247, 896.8600
386.0532, 895.1603
387.9817, 892.0827
389.9101, 884.3799
391.8386, 879.6611
393.7671, 880.9666
395.6955, 885.6049
397.6240, 889.1570
399.5525, 890.8660
401.4809, 893.5208
403.4094, 896.9731
405.3379, 901.8676
407.2663, 903.4420
409.1948, 897.3674
411.1233, 887.1630
413.0517, 881.6757
414.9802, 887.1411
416.9087, 892.7538
418.8371, 893.6826
420.7656, 890.5438
422.6941, 888.6182
424.6225, 888.9677
426.5510, 890.0181
428.4795, 892.3751
430.4079, 899.1942
432.3364, 903.5735
434.2649, 900.2186
436.1933, 894.0942
438.1218, 893.2190
440.0503, 903.3602
441.9787, 911.4384
443.9072, 913.4043
445.8357, 908.5680
447.7641, 903.9580
449.6926, 897.8879
451.6211, 896.4400
453.5495, 899.9417
455.4780, 910.7828
457.4065, 917.9833
459.3349, 919.8958
461.2634, 918.7839
463.1919, 919.3997
465.1203, 923.3726
467.0488, 927.3231
468.9773, 927.8046
470.9057, 924.7201
472.8342, 921.6347
474.7627, 917.3667
476.6911, 915.4447
478.6196, 918.6553
480.5481, 926.7377
482.4765, 933.8868
484.4050, 938.8875
486.3335, 942.3712
488.2619, 944.3295
490.1904, 943.7627
492.1189, 942.1853
494.0473, 941.5889
495.9758, 943.3350
497.9043, 946.5748
499.8327, 948.9974
501.7612, 944.8538
503.6897, 935.9459
505.6181, 925.3055
507.5466, 925.0983
509.4751, 938.6193
511.4035, 950.4182
513.3320, 954.8213
515.2604, 950.7565
517.1889, 951.6126
519.1174, 953.2207
521.0458, 953.1678
522.9743, 951.0458
524.9028, 948.7891
526.8312, 948.5040
528.7597, 951.5043
530.6882, 956.7758
532.6166, 961.0198
534.5451, 961.1675
536.4736, 962.0460
538.4020, 965.2742
540.3305, 969.3029
542.2590, 969.4677
544.1874, 964.3889
546.1159, 960.7094
548.0444, 961.6844
549.9728, 968.9985
551.9013, 975.8577
553.8298, 978.7568
555.7582, 978.3676
557.6867, 976.8380
559.6152, 977.4223
561.5436, 979.3521
563.4721, 978.9380
565.4006, 976.7053
567.3290, 976.4077
